Entity,Code,Year,co2,temp_changes,co2(/billion)
World,OWID_WRL,1903,2.25607725,-1.64,2256077250
World,OWID_WRL,1904,2.281857535,-2.22,2281857535
World,OWID_WRL,1905,2.429631367,-2.1,2429631367
World,OWID_WRL,1906,2.551869513,-1.83,2551869513
World,OWID_WRL,1907,2.885281242,-1.4,2885281242
World,OWID_WRL,1908,2.776431591,-1.44,2776431591
World,OWID_WRL,1909,2.887083061,-1.22,2887083061
World,OWID_WRL,1910,3.027588864,-0.94,3027588864
World,OWID_WRL,1911,3.082462274,-1.69,3082462274
World,OWID_WRL,1912,3.228332151,-1.24,3228332151
World,OWID_WRL,1913,3.492411249,-0.92,3492411249
World,OWID_WRL,1914,3.168341359,-1.27,3168341359
World,OWID_WRL,1915,3.125088543,-0.7,3125088543
World,OWID_WRL,1916,3.373154069,-0.64,3373154069
World,OWID_WRL,1917,3.527725678,-0.32,3527725678
World,OWID_WRL,1918,3.479185579,-1.35,3479185579
World,OWID_WRL,1919,3.014874203,-1.43,3014874203
World,OWID_WRL,1920,3.507597636,-1.06,3507597636
World,OWID_WRL,1921,3.076038222,-0.63,3076038222
World,OWID_WRL,1922,3.226445037,-1.16,3226445037
World,OWID_WRL,1923,3.661080742,-1.39,3661080742
World,OWID_WRL,1924,3.672399351,-0.84,3672399351
World,OWID_WRL,1925,3.712867713,-1.11,3712867713
World,OWID_WRL,1926,3.645190242,-0.66,3645190242
World,OWID_WRL,1927,3.981432883,-0.71,3981432883
World,OWID_WRL,1928,3.962552527,-0.94,3962552527
World,OWID_WRL,1929,4.255150726,-1.01,4255150726
World,OWID_WRL,1930,3.923058343,-0.88,3923058343
World,OWID_WRL,1931,3.505272053,-0.75,3505272053
World,OWID_WRL,1932,3.159133411,-1.34,3159133411
World,OWID_WRL,1933,3.326453782,-0.66,3326453782
World,OWID_WRL,1934,3.617657544,-0.51,3617657544
World,OWID_WRL,1935,3.796088336,-0.73,3796088336
World,OWID_WRL,1936,4.170573685,-1.09,4170573685
World,OWID_WRL,1937,4.458901333,-0.32,4458901333
World,OWID_WRL,1938,4.195242758,-0.68,4195242758
World,OWID_WRL,1939,4.438143987,-1.09,4438143987
World,OWID_WRL,1940,4.849926545,-1.17,4849926545
World,OWID_WRL,1941,4.959186226,-0.26,4959186226
World,OWID_WRL,1942,4.939724859,-0.63,4939724859
World,OWID_WRL,1943,5.02325064,-1.01,5023250640
